date	close	x
25-Mar-14	585139.6922	1395771305
26-Mar-14	501214.9332	1395857705
27-Mar-14	756564.7961	1395944105
28-Mar-14	806230.2488	1396030505
29-Mar-14	509121.7399	1396116905
30-Mar-14	551880.315	1396203305
31-Mar-14	729762.0537	1396289705
01-Apr-14	703152.6027	1396376105
02-Apr-14	712975.9813	1396462505
03-Apr-14	842061.8031	1396548905
04-Apr-14	663996.4141	1396635305
05-Apr-14	753433.7343	1396721705
06-Apr-14	450531.7286	1396808105
07-Apr-14	445138.8488	1396894505
08-Apr-14	511123.3156	1396980905
09-Apr-14	485103.8781	1397067305
10-Apr-14	851803.1051	1397153705
11-Apr-14	827736.8152	1397240105
12-Apr-14	455422.9105	1397326505
13-Apr-14	377624.9683	1397412905
14-Apr-14	576197.2436	1397499305
15-Apr-14	680667.7526	1397585705
16-Apr-14	828585.8636	1397672105
17-Apr-14	815861.1786	1397758505
18-Apr-14	671188.4361	1397844905
19-Apr-14	581524.682	1397931305
20-Apr-14	404073.9622	1398017705
21-Apr-14	704751.1742	1398104105
22-Apr-14	767457.1526	1398190505
23-Apr-14	722510.506	1398276905
24-Apr-14	559681.808	1398363305
25-Apr-14	550861.7291	1398449705
26-Apr-14	407118.2973	1398536105
27-Apr-14	278902.3664	1398622505
28-Apr-14	482175.4106	1398708905
29-Apr-14	566494.9218	1398795305
30-Apr-14	548190.8376	1398881705
01-May-14	471807.9025	1398968105
02-May-14	498876.5566	1399054505
03-May-14	658967.9921	1399140905
04-May-14	454251.7265	1399227305
05-May-14	575576.6431	1399313705
06-May-14	661019.7968	1399400105
07-May-14	799617.0928	1399486505
08-May-14	1310228.932	1399572905
09-May-14	1352519.578	1399659305
10-May-14	730814.5403	1399745705
11-May-14	481606.5205	1399832105
12-May-14	535630.4842	1399918505
13-May-14	708545.9958	1400004905
14-May-14	634329.0259	1400091305
15-May-14	790157.0932	1400177705
16-May-14	767480.9286	1400264105
17-May-14	484797.3732	1400350505
18-May-14	324600.8274	1400436905
19-May-14	478218.7215	1400523305
20-May-14	1283778.261	1400609705
21-May-14	880729.1098	1400696105
22-May-14	802081.5796	1400782505
23-May-14	1246459.492	1400868905
24-May-14	973175.1467	1400955305
25-May-14	808996.9656	1401041705
26-May-14	716702.7946	1401128105
27-May-14	889789.7097	1401214505
28-May-14	932703.7505	1401300905
29-May-14	700606.523	1401387305
30-May-14	920847.4343	1401473705
31-May-14	602173.7806	1401560105
01-Jun-14	709780.7925	1401646505
02-Jun-14	711248.7612	1401732905
03-Jun-14	1139172.3	1401819305
04-Jun-14	924375.5041	1401905705
05-Jun-14	1002352.43	1401992105
06-Jun-14	1178339.323	1402078505
07-Jun-14	577982.8619	1402164905
08-Jun-14	815990.0289	1402251305
09-Jun-14	341221.735	1402337705
10-Jun-14	614894.552	1402424105
11-Jun-14	546126.0519	1402510505
12-Jun-14	686936.3531	1402596905
13-Jun-14	1167896.172	1402683305
14-Jun-14	472211.4609	1402769705
15-Jun-14	448374.4286	1402856105
16-Jun-14	723679.883	1402942505
17-Jun-14	460801.3223	1403028905
18-Jun-14	573046.443	1403115305
19-Jun-14	650150.7954	1403201705
20-Jun-14	609970.3641	1403288105
21-Jun-14	503587.7279	1403374505
22-Jun-14	520673.9866	1403460905
23-Jun-14	493645.5382	1403547305
24-Jun-14	974332.6751	1403633705
25-Jun-14	525512.1072	1403720105
26-Jun-14	523609.7446	1403806505
27-Jun-14	465624.735	1403892905
28-Jun-14	386544.9099	1403979305
29-Jun-14	336897.0261	1404065705
30-Jun-14	586067.1147	1404152105
01-Jul-14	922663.2478	1404238505
02-Jul-14	953854.0659	1404324905
03-Jul-14	646583.7207	1404411305
04-Jul-14	425600.3181	1404497705
05-Jul-14	402775.0973	1404584105
06-Jul-14	392600.4604	1404670505
07-Jul-14	427135.8126	1404756905
08-Jul-14	400562.5669	1404843305
09-Jul-14	462661.1408	1404929705
10-Jul-14	509362.7541	1405016105
11-Jul-14	439592.2531	1405102505
12-Jul-14	457155.4053	1405188905
13-Jul-14	503290.9247	1405275305
14-Jul-14	448907.6513	1405361705
15-Jul-14	597198.1655	1405448105
16-Jul-14	567687.7767	1405534505
17-Jul-14	473771.878	1405620905
18-Jul-14	552675.728	1405707305
19-Jul-14	348919.2634	1405793705
20-Jul-14	261004.7079	1405880105
21-Jul-14	419218.1766	1405966505
22-Jul-14	409845.8799	1406052905
23-Jul-14	411686.2939	1406139305
24-Jul-14	518394.6739	1406225705
25-Jul-14	504563.9726	1406312105
26-Jul-14	349792.1607	1406398505
27-Jul-14	245926.7461	1406484905
28-Jul-14	443294.0827	1406571305
29-Jul-14	542927.2547	1406657705
30-Jul-14	401968.065	1406744105
31-Jul-14	442521.5557	1406830505
01-Aug-14	467637.6989	1406916905
02-Aug-14	371023.9948	1407003305
03-Aug-14	444379.2905	1407089705
04-Aug-14	399294.1037	1407176105
05-Aug-14	529514.9417	1407262505
06-Aug-14	560463.9626	1407348905
07-Aug-14	452393.1086	1407435305
08-Aug-14	297685.6222	1407521705
09-Aug-14	420310.5818	1407608105
10-Aug-14	341775.0295	1407694505
11-Aug-14	495304.617	1407780905
12-Aug-14	764214.6776	1407867305
13-Aug-14	717606.6144	1407953705
14-Aug-14	700727.3105	1408040105
15-Aug-14	796925.7647	1408126505
16-Aug-14	689805.1059	1408212905
17-Aug-14	493900.2813	1408299305
18-Aug-14	978813.3801	1408385705
19-Aug-14	655716.6884	1408472105
20-Aug-14	575101.3765	1408558505
21-Aug-14	613696.6055	1408644905
22-Aug-14	3355242.274	1408731305
23-Aug-14	667276.9219	1408817705
24-Aug-14	483183.1586	1408904105
25-Aug-14	837227.9845	1408990505
26-Aug-14	1849501.097	1409076905
27-Aug-14	1473447.111	1409163305
28-Aug-14	729893.9113	1409249705
29-Aug-14	527726.8258	1409336105
30-Aug-14	643988.2664	1409422505
31-Aug-14	545659.8582	1409508905
01-Sep-14	687875.7552	1409595305
02-Sep-14	574246.0662	1409681705
03-Sep-14	512676.8879	1409768105
04-Sep-14	443030.7918	1409854505
05-Sep-14	446975.7395	1409940905
06-Sep-14	391892.9554	1410027305
07-Sep-14	320158.1026	1410113705
08-Sep-14	519189.7412	1410200105
09-Sep-14	488189.9522	1410286505
10-Sep-14	506624.7066	1410372905
11-Sep-14	466172.2597	1410459305
12-Sep-14	454009.5276	1410545705
13-Sep-14	358930.1942	1410632105
14-Sep-14	332978.2976	1410718505
15-Sep-14	462681.1224	1410804905
16-Sep-14	437451.4801	1410891305
17-Sep-14	462824.8682	1410977705
18-Sep-14	652489.2436	1411064105
19-Sep-14	741891.7351	1411150505
20-Sep-14	720476.6817	1411236905
21-Sep-14	875032.1061	1411323305
22-Sep-14	507462.7293	1411409705
23-Sep-14	738732.1412	1411496105
24-Sep-14	957227.8191	1411582505
25-Sep-14	686077.5817	1411668905
26-Sep-14	596150.4681	1411755305
27-Sep-14	532351.156	1411841705
28-Sep-14	453805.8176	1411928105
29-Sep-14	654029.3292	1412014505
30-Sep-14	631639.8353	1412100905
